Average Rent,Neighborhood
$943.00,Westwood
$943.00,Mar Lee
$943.00,Barnum
"$1,266.00",Chaffee Park
"$1,290.00",Hampden
"$1,300.00",Regis
"$1,330.00",Washington Virginia Vale
"$1,338.00",Indian Creek
"$1,341.00",Goldsmith
"$1,342.00",Virginia Village
"$1,348.00",Valverde
"$1,348.00",Ruby Hill
"$1,348.00",Athmar Park
"$1,366.00",University Hills
"$1,367.00",Hilltop
"$1,369.00",College View - South Platte
"$1,387.00",Montbello
"$1,411.00",Harvey Park South
"$1,418.00",Harvey Park
"$1,432.00",Gateway Denver
"$1,447.00",Fort Logan
"$1,499.00",Montclair
"$1,499.00",Mayfair
"$1,499.00",Hale
"$1,499.00",East Colfax
"$1,501.00",Windsor
"$1,507.00",Bear Valley
"$1,528.00",Stapleton Denver
"$1,537.00",Southmoor Park
"$1,537.00",Hampden South
"$1,563.00",Uptown Denver
"$1,563.00",Capitol Hill
"$1,644.00",Green Valley Ranch Denver
"$1,644.00",Denver International Airport
"$1,653.00",Park Hill Denver
"$1,660.00",Lowry Field
"$1,668.00",Overland
"$1,707.00",Speer
"$1,717.00",Barnum West
"$1,728.00",Whittier
"$1,728.00",Skyland
"$1,728.00",Cole
"$1,728.00",Clayton
"$1,760.00",Wellshire Denver
"$1,760.00",University
"$1,760.00",Rosedale
"$1,760.00",Platt Park
"$1,760.00",Cory - Merrill
"$1,770.00",RiNo Denver
"$1,823.00",Globeville
"$1,823.00",Elyria Swansea
"$1,838.00",West Highland
"$1,838.00",Sloan Lake
"$1,838.00",Berkeley
"$1,890.00",Washington Park West
"$1,890.00",Washington Park
"$1,895.00",West Colfax
"$1,895.00",Villa Park
"$1,895.00",Sun Valley
"$1,895.00",Lincoln Park
"$1,896.00",Sunnyside
"$1,896.00",Jefferson Park
"$1,922.00",Baker
"$1,926.00",City Park West
"$1,991.00",City Park
"$2,029.00",Five Points
"$2,043.00",Belcaro
"$2,062.00",Downtown Denver
"$2,069.00",Highland
"$2,084.00",Country Club
"$2,084.00",Cheesman Park
"$2,131.00",LoDo
"$2,154.00",Cherry Creek
"$2,280.00",Congress Park
