Rank,Neighborhood,Median Household Income

1,Cherry Creek,"$112,844"
2,Stapleton,"$97,079"
3,Washington Park,"$88,971"
4,Auraria,"$82,813"
5,Central East Denver,"$82,551"
6,Park Hill,"$75,533"
7,Gateway-Green Valley Ranch,"$72,045"
8,Lodo,"$71,608"
9,Golden Triangle,"$68,459"
10,Highland,"$62,658"
11,Southeastern Denver,"$61,242"
12,University,"$59,824"
13,Five Points,"$54,197"
14,Alamo Placita,"$53,462"
15,Northwestern Denver,"$53,025"
16,Southwestern Denver,"$51,677"
17,Jefferson Park,"$50,843"
18,City Park,"$47,800"
19,Northern Denver,"$45,565"
20,Capitol Hill,"$44,718"
21,Central West Denver,"$43,023"
22,Baker,"$42,468"
